Account,date,trades_count,unique_coins,total_volume_usd,avg_trade_size_usd,realized_pnl,mean_trade_pnl,total_fees,mean_leverage_proxy,max_leverage_proxy,win_rate,fear_greed_value,buy_count,sell_count,buy_ratio,market_regime,leverage_bucket,frequency_bucket,consistency_bucket,next_day_realized_pnl,next_day_trades,profitability_bucket,bucket_low_threshold,bucket_high_threshold
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,33,1,1212299.96,36736.36242424243,-175611.00005600002,-5321.545456242425,121.229992,-77.33813108120988,-0.0216686118357819,0.0,72.0,33,0,1.0,Greed,High Leverage,Frequent,Inconsistent,0.0,177.0,Loss,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,1,900880.1300000001,5089.718248587571,0.0,0.0,167.796055,9.077048479127047,22484.063047285465,0.0,76.0,0,177,0.0,Extreme Greed,High Leverage,Frequent,Inconsistent,9482.221441,45.0,Profit,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,45,1,134360.88999999998,2985.7975555555554,9482.221441,210.7160320222222,6.71802,-2.3272685523535,-0.0535973120340098,0.8,74.0,36,9,0.8,Greed,High Leverage,Frequent,Inconsistent,76710.0,10.0,Profit,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,1,1858470.0,185847.0,76710.0,7671.0,92.923496,91786.69076724618,931290.0,0.9,60.0,9,1,0.9,Greed,High Leverage,Frequent,Inconsistent,101011.685664,839.0,Profit,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,839,2,19794543.659999996,23593.019856972584,101011.685664,120.39533452205006,2355.038296,860.6489830283998,536353.44,0.30512514898688914,26.0,350,489,0.4171632896305125,Fear,High Leverage,Frequent,Inconsistent,533974.662903,641.0,Profit,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,2,5365898.24,8371.136099843994,533974.662903,833.0337954804993,268.294625,81.91277201329311,75361.34808853119,0.8424336973478939,33.0,540,101,0.8424336973478939,Fear,High Leverage,Frequent,Inconsistent,375620.270243,531.0,Profit,0.0,908.9837323200001
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,531,2,5616220.88,10576.687156308852,375620.270243,707.3828064839925,704.19937,662.7556514340855,356398.3333333334,0.15630885122410546,44.0,111,420,0.20903954802259886,Fear,High Leverage,Frequent,Inconsistent,44400.9058,210.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,1,1,0.06,0.06,0.0,0.0,0.0,0.0595616258382144,0.0595616258382144,0.0,71.0,0,1,0.0,Greed,Low Leverage,Frequent,Consistent,0.0,34.0,Loss,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,34,1,48513.579999999994,1426.87,0.0,0.0,1.31668822,8.834108818408794,128.79,0.0,72.0,34,0,1.0,Greed,Low Leverage,Frequent,Consistent,3515.031065,26.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,26,1,52028.630000000005,2001.101153846154,3515.031065,135.1935025,5.2028479999999995,0.7475535394523132,13.829424793887627,0.9615384615384616,25.0,0,26,0.0,Fear,Low Leverage,Frequent,Consistent,0.0,46.0,Loss,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,46,1,52066.88,1131.888695652174,0.0,0.0,1.4383267,25.182786108055474,1099.95,0.0,31.0,46,0,1.0,Fear,Low Leverage,Frequent,Consistent,2517.787385,64.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,64,1,54584.72,852.88625,2517.787385,39.340427890625,19.104602,0.9212401633616092,13.027308129811685,0.984375,49.0,0,64,0.0,Neutral,Low Leverage,Frequent,Consistent,1162.002541,78.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,78,1,163388.11000000002,2094.7193589743592,1162.002541,14.897468474358975,29.90369878,9.683173467620938,465.9135497502714,0.32051282051282054,70.0,53,25,0.6794871794871795,Greed,Low Leverage,Frequent,Consistent,1243.853569,250.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,250,1,203876.44,815.50576,1243.853569,4.975414276,31.0304917,3.6358571265074207,625.7924506549926,0.324,72.0,169,81,0.676,Greed,Low Leverage,Frequent,Consistent,6352.452613,517.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,4,1443682.0,2792.42166344294,6352.452613,12.28714238491296,487.25693852,191.77664814448693,31629.0,0.4506769825918762,60.0,270,247,0.5222437137330754,Greed,Low Leverage,Frequent,Consistent,2480.902379,110.0,Profit,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,1,219900.91,1999.099181818182,2480.902379,22.55365799090909,53.50649472,7.369601943601386,572.889896834237,0.45454545454545453,33.0,60,50,0.5454545454545454,Fear,Low Leverage,Frequent,Consistent,0.0,1.0,Loss,0.0,908.9837323200001
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,1,1,54768.6,54768.6,0.0,0.0,0.456405,54570.55744427341,54570.55744427341,0.0,15.0,1,0,1.0,Extreme Fear,Low Leverage,Frequent,Consistent,-3169.3554679999997,65.0,Loss,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,193,23,47695.56,247.12725388601035,4458.25495,23.099766580310877,16.10546943,11.751790455818488,915.7978756063118,0.5025906735751295,71.0,66,127,0.34196891191709844,Greed,High Leverage,Frequent,Consistent,1283.846047,140.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,140,22,19651.71,140.36935714285713,1283.846047,9.170328907142856,6.30947724,38.70012744303703,2242.0,0.5214285714285715,70.0,70,70,0.5,Greed,High Leverage,Frequent,Consistent,1190.358719,78.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,78,17,7205.03,92.37217948717948,1190.358719,15.261009217948718,2.982829,10.199637164348323,514.97,0.47435897435897434,81.0,28,50,0.358974358974359,Extreme Greed,High Leverage,Frequent,Consistent,9066.169646,112.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,112,19,18567.68,165.78285714285715,9066.169646,80.94794326785714,7.22773423,0.3195610887007085,498.6,0.5357142857142857,79.0,30,82,0.26785714285714285,Extreme Greed,High Leverage,Frequent,Consistent,14685.787664,98.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,98,17,25406.100000000002,259.245918367347,14685.787664,149.8549761632653,9.32634692,5.271928257457169,520.48322147651,0.4897959183673469,56.0,33,65,0.336734693877551,Greed,High Leverage,Frequent,Consistent,389.176232,69.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,69,19,8956.570000000002,129.8053623188406,389.176232,5.640235246376812,2.907485,22.226873281524714,1163.85,0.2318840579710145,72.0,27,42,0.391304347826087,Greed,High Leverage,Frequent,Consistent,4008.012049,86.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,86,21,13732.329999999998,159.67825581395346,4008.012049,46.60479126744186,3.66824976,-1.8976037461416582,0.9185867906245632,0.4186046511627907,25.0,20,66,0.23255813953488372,Fear,High Leverage,Frequent,Consistent,554.009942,102.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,102,22,7922.5199999999995,77.67176470588235,554.009942,5.431470019607843,2.81362784,0.9834789183498539,249.61,0.4215686274509804,25.0,31,71,0.30392156862745096,Fear,High Leverage,Frequent,Consistent,768.430838,213.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,213,20,18772.08,88.1318309859155,768.430838,3.6076565164319248,6.79214041,-1.3023293584423716,0.2033888045816969,0.5915492957746479,31.0,169,44,0.7934272300469484,Fear,High Leverage,Frequent,Consistent,980.557461,157.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,157,23,18780.690000000002,119.62222929936307,980.557461,6.245588923566879,5.81611154,-18.495393761289808,171.94871794871796,0.6751592356687898,49.0,117,40,0.7452229299363057,Neutral,High Leverage,Frequent,Consistent,1582.001112,93.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,93,9,11570.32,124.41204301075268,1582.001112,17.010764645161288,4.121023,64.61233544860335,983.5433070866142,0.34408602150537637,80.0,16,77,0.17204301075268819,Extreme Greed,High Leverage,Frequent,Consistent,5806.86932,147.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,147,17,22071.36,150.14530612244897,5806.86932,39.50251238095238,6.99886242,29.189915714192175,1045.947368421053,0.5578231292517006,83.0,28,119,0.19047619047619047,Extreme Greed,High Leverage,Frequent,Consistent,109.82694000000001,59.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,59,11,15537.509999999998,263.347627118644,109.82694000000001,1.861473559322034,4.20683628,101.74930224637387,2040.24347826087,0.3559322033898305,66.0,44,15,0.7457627118644068,Greed,High Leverage,Frequent,Consistent,3.536668000000001,51.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,51,9,53933.29000000001,1057.5154901960786,3.536668000000001,0.06934643137254903,18.86497698,766.0802221762602,7167.777939452038,0.4117647058823529,70.0,30,21,0.5882352941176471,Greed,High Leverage,Frequent,Consistent,557.9358,37.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,37,6,31087.869999999995,840.2127027027026,557.9358,15.079345945945946,10.630594,10.77143581423456,115.17993573723668,0.3783783783783784,74.0,18,19,0.4864864864864865,Greed,High Leverage,Frequent,Consistent,768.351892,41.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,41,7,17318.84,422.4107317073171,768.351892,18.740290048780487,5.24749082,0.28136160854082787,3.8284730305075207,0.6585365853658537,73.0,14,27,0.34146341463414637,Greed,High Leverage,Frequent,Consistent,16.923621,2.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,2,1,270.64,135.32,16.923621,8.4618105,0.094722,12.012478334710927,14.604376043783349,1.0,72.0,0,2,0.0,Greed,High Leverage,Frequent,Consistent,416.546688,101.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,101,11,21987.030000000002,217.6933663366337,416.546688,4.124224633663366,7.715886,112.1180584721699,1259.6513075965129,0.45544554455445546,68.0,25,76,0.24752475247524752,Greed,High Leverage,Frequent,Consistent,-1416.906536,91.0,Loss,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,91,11,120908.25,1328.6620879120878,-1416.906536,-15.570401494505495,35.3271459,636.6125989461215,14033.759421267065,0.054945054945054944,60.0,80,11,0.8791208791208791,Greed,High Leverage,Frequent,Consistent,8330.21747,73.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,73,10,104558.43000000001,1432.3072602739728,8330.21747,114.11256808219177,32.77112491,410.9644150468116,7384.313725490197,0.7671232876712328,44.0,18,55,0.2465753424657534,Fear,High Leverage,Frequent,Consistent,669.381363,70.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,70,6,28989.400000000005,414.1342857142858,669.381363,9.5625909,9.363195900000001,7.354756905167057,280.3013389659444,0.6,72.0,27,43,0.38571428571428573,Greed,High Leverage,Frequent,Consistent,250.581483,69.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,69,13,14983.429999999998,217.15115942028984,250.581483,3.6316156956521737,5.21759794,50.875219549387204,2308.076095443033,0.5217391304347826,20.0,34,35,0.4927536231884058,Extreme Fear,High Leverage,Frequent,Consistent,439.634046,75.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,75,7,93869.36,1251.5914666666667,439.634046,5.861787280000001,19.67962575,518.0394500593565,11699.29411764706,0.6,26.0,27,48,0.36,Fear,High Leverage,Frequent,Consistent,494.669357,58.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,58,7,31141.85,536.928448275862,494.669357,8.52878201724138,9.075943,56.472798244804885,1966.4312923905973,0.3620689655172414,33.0,48,10,0.8275862068965517,Fear,High Leverage,Frequent,Consistent,149.51234499999998,85.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,85,5,38532.12000000001,453.31905882352953,149.51234499999998,1.758968764705882,12.648717,1.581568967775215,37.925,0.11764705882352941,15.0,64,21,0.7529411764705882,Extreme Fear,High Leverage,Frequent,Consistent,232.66549799999999,81.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,81,13,12691.32,156.68296296296296,232.66549799999999,2.872413555555555,4.45112,60.531834827380656,1760.62,0.49382716049382713,34.0,32,49,0.3950617283950617,Fear,High Leverage,Frequent,Consistent,1291.500575,48.0,Profit,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,48,5,54703.67,1139.6597916666667,1291.500575,26.90626197916667,11.67501298,534.0585766326996,7653.226288274832,0.3541666666666667,44.0,31,17,0.6458333333333334,Fear,High Leverage,Frequent,Consistent,163.73415,43.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,43,7,46953.82000000001,1091.9493023255816,163.73415,3.807770930232558,12.403976,86.53631244236983,1267.44,0.3023255813953488,25.0,42,1,0.9767441860465116,Fear,High Leverage,Frequent,Consistent,498.73528200000004,100.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,100,10,28054.429999999997,280.54429999999996,498.73528200000004,4.987352820000001,9.75008299,10.01806192874828,2499.31,0.56,28.0,33,67,0.33,Fear,High Leverage,Frequent,Consistent,87.752181,82.0,Neutral,0.0,908.9837323200001
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,82,11,8297.09,101.1840243902439,87.752181,1.0701485487804878,2.903942,10.799720497182065,524.23,0.5365853658536586,53.0,39,43,0.47560975609756095,Neutral,High Leverage,Frequent,Consistent,696.8107239999999,83.0,Neutral,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-01-11,14,1,29949.93,2139.280714285714,-0.09906000000000104,-0.00707571428571436,9.793994,119.60305671576637,1671.46,0.2857142857142857,76.0,6,8,0.42857142857142855,Extreme Greed,Low Leverage,Frequent,Inconsistent,16196.864846,53.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-02-12,53,2,124483.24,2348.7403773584906,16196.864846,305.60122350943396,42.163079,42.32235720621706,1622.65,0.5660377358490566,70.0,23,30,0.4339622641509434,Greed,Low Leverage,Frequent,Inconsistent,121.535562,59.0,Neutral,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-03-12,59,1,99449.61999999998,1685.5867796610166,121.535562,2.0599247796610167,34.807342,4.040474871030656,233.6775,0.23728813559322035,81.0,33,26,0.559322033898305,Extreme Greed,Low Leverage,Frequent,Inconsistent,7591.307059,37.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-04-12,37,4,126798.84999999999,3426.9959459459456,7591.307059,205.17046105405404,36.568131,189.30506005046243,2565.54,0.6756756756756757,79.0,12,25,0.32432432432432434,Extreme Greed,Low Leverage,Frequent,Inconsistent,2069.92634,33.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-05-12,33,1,29373.46,890.1048484848485,2069.92634,62.7250406060606,7.532439,256.88873237050706,8422.17,0.9090909090909091,56.0,3,30,0.09090909090909091,Greed,Low Leverage,Frequent,Inconsistent,-3.41119,3.0,Loss,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-11,3,1,2000.52,666.84,-3.41119,-1.1370633333333333,0.70018,334.0583629786342,1001.97,0.0,74.0,1,2,0.3333333333333333,Greed,Low Leverage,Frequent,Inconsistent,-123.870122,9.0,Loss,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-06-12,9,1,20916.4,2324.0444444444447,-123.870122,-13.763346888888888,7.0556339999999995,6.504539197085521,50.39,0.0,72.0,5,4,0.5555555555555556,Greed,Low Leverage,Frequent,Inconsistent,-710.786946,15.0,Loss,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-08-11,15,1,30058.809999999998,2003.9206666666664,-710.786946,-47.3857964,9.653699999999999,37.965454811986405,514.3,0.0,39.0,5,10,0.3333333333333333,Fear,Low Leverage,Frequent,Inconsistent,130.883691,12.0,Neutral,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-12,12,1,19024.839999999997,1585.403333333333,130.883691,10.90697425,6.658685,62.72457089038725,752.62,0.5833333333333334,49.0,5,7,0.4166666666666667,Neutral,Low Leverage,Frequent,Inconsistent,8544.6855,19.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-12,19,1,124463.01,6550.684736842105,8544.6855,449.7202894736842,30.194784,748.3986636251547,14216.07,0.5263157894736842,80.0,9,10,0.47368421052631576,Extreme Greed,Low Leverage,Frequent,Inconsistent,7639.595794,62.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,62,1,345079.6899999998,5565.801451612901,7639.595794,123.219287,120.777867,64.58747116130495,3997.78,0.6290322580645161,83.0,23,39,0.3709677419354839,Extreme Greed,Low Leverage,Frequent,Inconsistent,88.50699399999999,21.0,Neutral,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-02,21,1,117810.02,5610.000952380952,88.50699399999999,4.214618761904761,36.52381,127.29819997013776,2620.29,0.5714285714285714,70.0,5,16,0.23809523809523808,Greed,Low Leverage,Frequent,Inconsistent,1334.414834,9.0,Profit,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-04,9,1,10737.399999999998,1193.0444444444443,1334.414834,148.26831488888888,3.455933,139.55669405269498,1096.08,0.4444444444444444,73.0,5,4,0.5555555555555556,Greed,Low Leverage,Frequent,Inconsistent,1.1031579999999999,6.0,Neutral,0.0,908.9837323200001
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-04,6,1,2371.44,395.24,1.1031579999999999,0.18385966666666664,0.830004,274.7827461771764,1075.141776937618,0.3333333333333333,72.0,3,3,0.5,Greed,Low Leverage,Frequent,Inconsistent,160.127816,26.0,Neutral,0.0,908.9837323200001
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-01-05,3,1,477.0,159.0,0.0,0.0,0.0,147.46289728832917,183.53,0.0,29.0,3,0,1.0,Fear,High Leverage,Infrequent,Consistent,0.0,1.0,Loss,0.0,908.9837323200001
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-08,1,1,0.74,0.74,0.0,0.0,0.0,0.0423194404615083,0.0423194404615083,0.0,71.0,0,1,0.0,Greed,High Leverage,Infrequent,Consistent,13.566929,3.0,Neutral,0.0,908.9837323200001
